script	grapheme	unicode	IPA	comment	source	omniglot
Nganasan	ь	U+044C		Не обозначает звука, употребляется как и в русском	Zhovnitskaja 2009: 16-27	
Nganasan	Э	U+042D		Такой звук отсутствует в нганасанском языке. Буква для обозначения этого звука введена в алфавит для правильного написания слов, заимствованных из русского языка	Zhovnitskaja 2009: 16-27	
Nganasan	э	U+044D		Такой звук отсутствует в нганасанском языке. Буква для обозначения этого звука введена в алфавит для правильного написания слов, заимствованных из русского языка	Zhovnitskaja 2009: 16-27	
Nganasan	Ә	U+04D8	ə		Zhovnitskaja 2009: 16-27	
Nganasan	Әу	U+04D8 U+0443	əu		Zhovnitskaja 2009: 16-27	
Nganasan	ә	U+04D9	ə		Zhovnitskaja 2009: 16-27	
Nganasan	әу	U+04D9 U+0443	əu		Zhovnitskaja 2009: 16-27	
Nganasan	Ю	U+042E	ju		Zhovnitskaja 2009: 16-27	
Nganasan	ю	U+044E	ju		Zhovnitskaja 2009: 16-27	
Nganasan	Я	U+042F	ʝ		Zhovnitskaja 2009: 16-27	
Nganasan	я	U+044F	ʝ		Zhovnitskaja 2009: 16-27	
